No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
1,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">UGC 04229</a>",121.920981,39.004214,G,6998.737375,0.023345,SLS,190,8,157,52,44,13,,,6,5,6
2,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MCG +11-11-032</a>",133.802274,64.396014,G,10854.603514,0.036207,SLS,60,,77,26,21,8,,,,1,
3,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 008-077</a>",153.445083,-0.914222,G,12722.534473,0.042438,SLS,90,,72,37,32,6,,3,6,1,2
4,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 040-049</a>",177.617321,4.694932,G,12054.654736,0.040210,SLS,40,,69,18,14,10,,,3,7,1
5,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 5245</a>",204.346810,3.897426,G,6908.717195,0.023045,SUN,46,,77,17,13,10,,1,1,1,2
6,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 5929</a>",231.525671,41.670667,G,2550.034648,0.008506,SUN,356,12,187,36,33,13,1,1,20,25,3
7,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">3C 223.1</a>",145.350117,39.744986,G,32226.548525,0.107496,SLS,219,3,136,29,17,12,1,,3,12,1
8,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J133804.62+264209.4</a>",204.519125,26.702694,G,31916.720514,0.106463,SLS,24,,38,9,6,2,,,,1,
9,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J085841.75+104121.9</a>",134.674023,10.689481,G,44377.902817,0.148029,SLS,79,2,81,23,18,6,,,3,1,
10,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J131515.93+213403.4</a>",198.816303,21.567526,G,21021.117383,0.070119,SLS,24,,33,9,5,2,1,,,1,
11,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">B2 1515+34 NED01</a>",229.288704,33.889967,QSO,40518.191839,0.135154,SLS,47,,79,18,14,6,1,,1,1,1
12,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J13520776+0525555</a>",208.032215,5.432168,G,23694.096918,0.079035,SUN,30,,60,13,10,10,,,3,1,1
13,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J095528.88+383827.2</a>",148.870344,38.640865,G,18319.983439,0.061109,SLS,29,,66,12,9,10,1,,1,1,1
14,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J102325.56+324348.4</a>",155.856583,32.730139,G,38076.640091,0.127010,SLS,25,,55,14,10,6,,,,1,1
15,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J150452.34+321414.9</a>",226.218126,32.237463,G,33758.450511,0.112606,SLS,21,,72,9,6,10,,,,1,1
16,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111201.79+275053.8</a>",168.007440,27.848287,G,14212.078183,0.047406,SLS,41,,51,19,20,6,,1,1,1,2
17,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J145801.58+274251.7</a>",224.506609,27.714391,G,35488.241002,0.118376,SLS,22,,48,8,5,6,,1,,1,
18,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J095833.20-005118.6</a>",149.638298,-0.855178,G,25771.559720,0.085965,SLS,33,,67,12,11,10,,,1,1,2
19,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J110957.13+020138.6</a>",167.488062,2.027382,G,19000.546196,0.063379,SUN,44,,98,24,16,10,,,,1,2
20,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J101348.45+002014.7</a>",153.451884,0.337449,QSO,35119.272933,0.117145,SLS,15,,77,11,9,10,,,,1,2
21,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111054.89+012936.0</a>",167.728740,1.493336,G,38823.375137,0.129501,SLS,20,,60,10,5,8,,1,,,2
22,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J11312609-0204593</a>",172.858690,-2.083140,G,43855.322592,0.146286,SLS,23,,36,9,8,6,,,,1,2
23,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J11484015-0216370</a>",177.167263,-2.277000,G,25420.860704,0.084795,SLS,31,,54,10,10,10,,,1,1,2
24,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J114610.03-022619.0</a>",176.541818,-2.438646,G,36719.713471,0.122484,SLS,25,,68,10,8,10,,,,1,2
25,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121527.45+000109.1</a>",183.864375,0.019194,G,30051.885513,0.100242,SLS,26,,50,13,7,4,,,1,1,3
26,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J081430.11+265730.1</a>",123.625517,26.958234,G,23596.178705,0.078708,SLS,23,,69,11,7,10,,,,1,1
27,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J09442761+1447174</a>",146.114965,14.788073,G,23186.296461,0.077341,SLS,18,,36,7,6,6,,,,1,
28,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J110832.01+195128.1</a>",167.133355,19.857848,G,30914.598269,0.103120,SLS,20,,52,9,5,6,,,,1,
29,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111333.36+165712.0</a>",168.389184,16.953253,G,16035.988516,0.053490,SLS,20,,48,8,8,6,,,,1,1
30,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J120320.66+131931.4</a>",180.836078,13.325385,G,17499.041666,0.058371,SLS,40,1,70,15,16,10,,1,,1,4
31,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J120802.08+230430.6</a>",182.008685,23.075204,G,22071.674098,0.073623,SLS,12,,39,7,4,4,,,,,
32,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115548.52+110158.8</a>",178.952184,11.033078,G,31417.029443,0.104796,SLS,19,,68,7,5,10,,,,1,1
33,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J112659.53+294442.9</a>",171.748077,29.745218,G,30530.273332,0.101838,SLS,30,,65,10,9,6,,,,1,1
34,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115249.33+190300.2</a>",178.205564,19.050075,G,28982.967709,0.096677,SLS,26,,46,12,9,6,,,,1,
35,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J123538.60+050221.5</a>",188.910844,5.039286,G,19554.112969,0.065226,SLS,23,,68,10,8,10,,,,1,1
