GW Freq,Strain UL,Strain UL Err,Auto,Auto Error
2.75e-09,8.518876e-15,3.512111e-16,175.55,8.536875e-15
3.75e-09,5.202072e-15,3.489816e-16,302.28,5.318110e-15
 4.761e-09,3.419747e-15,2.029280e-16,272.30,3.527187e-15
5.7833e-09,2.669850e-15,6.816073e-17,67.81,2.667176e-15
6.8168e-09,2.193293e-15,5.851891e-17,55.99,2.180088e-15
7.8617e-09,2.012996e-15,4.321147e-17,42.37,2.062805e-15
8.9182e-09,2.213958e-15,6.049617e-17,54.43,2.226773e-15
9.9864e-09,2.687593e-15,7.647810e-17,59.92,2.647516e-15
1.1066e-08,3.796605e-15,1.092035e-16,106.84,3.827863e-15
1.2158e-08,4.884679e-15,1.340807e-16,147.13,4.858265e-15
1.3262e-08,5.297540e-15,1.135259e-16,108.76,5.535962e-15
1.4378e-08,6.449120e-15,2.078216e-16,135.09,6.268980e-15
1.5507e-08,7.723593e-15,1.684989e-16,163.86,7.728514e-15
1.6648e-08,9.719171e-15,2.393137e-16,199.18,9.369759e-15
1.7801e-08,1.017791e-14,2.831838e-16,202.36,9.694028e-15
1.8968e-08,1.066091e-14,3.074597e-16,210.62,1.058958e-14
2.0147e-08,1.035618e-14,4.240227e-16,312.51,1.037085e-14
2.1339e-08,1.101456e-14,2.876077e-16,216.19,1.111992e-14
2.2544e-08,9.858517e-15,3.485844e-16,204.44,9.548535e-15
2.3763e-08,6.994767e-15,3.018373e-16,161.56,6.694316e-15
2.4995e-08,5.124831e-15,1.451454e-16,70.55,5.282588e-15
2.6241e-08,6.529471e-15,1.886742e-16,60.69,6.630611e-15
2.7501e-08,7.409489e-15,1.661784e-16,57.37,7.462632e-15
2.8774e-08,9.275456e-15,3.362775e-16,83.06,9.083060e-15
3.0062e-08,1.893235e-14,8.683438e-16,83.31,1.860662e-14
3.1364e-08,6.960205e-13,3.245807e-14,172.74,7.233066e-13
 3.268e-08,8.205275e-14,3.993717e-15,90.68,8.295988e-14
 3.401e-08,2.404936e-14,1.155385e-15,127.73,2.263545e-14
3.5356e-08,1.737422e-14,5.920685e-16,142.68,1.742510e-14
3.6716e-08,1.191371e-14,3.457625e-16,113.56,1.207917e-14
3.8091e-08,9.566396e-15,3.854705e-16,123.60,9.256356e-15
3.9482e-08,8.350999e-15,2.226851e-16,55.63,8.238030e-15
4.0888e-08,8.122603e-15,1.838211e-16,51.50,8.155587e-15
4.2309e-08,8.379618e-15,1.652323e-16,51.73,8.256330e-15
4.3746e-08,9.571037e-15,3.096494e-16,89.35,9.846830e-15
4.5199e-08,8.359757e-15,2.646485e-16,51.84,8.212910e-15
4.6668e-08,8.943111e-15,2.378759e-16,53.37,8.803236e-15
4.8154e-08,9.340787e-15,2.417081e-16,59.84,9.132075e-15
4.9655e-08,9.887846e-15,3.541969e-16,102.97,9.622310e-15
5.1174e-08,1.112540e-14,3.503546e-16,56.80,1.131408e-14
5.2709e-08,1.315254e-14,4.651734e-16,112.02,1.336692e-14
5.4261e-08,1.189291e-14,4.403222e-16,84.18,1.174624e-14
 5.583e-08,1.899133e-14,6.401642e-16,172.47,1.870273e-14
5.7416e-08,1.953991e-14,5.064562e-16,120.40,1.936370e-14
5.9021e-08,2.346770e-14,5.584425e-16,258.21,2.241590e-14
6.0642e-08,2.066328e-14,7.996130e-16,168.72,2.036575e-14
6.2282e-08,2.038353e-14,6.443226e-16,143.25,2.028815e-14
 6.394e-08,1.948302e-14,4.674857e-16,86.64,1.999775e-14
6.5616e-08,1.470676e-14,4.303751e-16,68.63,1.488208e-14
6.7311e-08,1.286460e-14,2.744243e-16,82.85,1.289653e-14
6.9024e-08,1.677676e-14,5.509553e-16,95.90,1.696193e-14
7.0756e-08,1.427694e-14,4.299257e-16,88.81,1.415642e-14
7.2508e-08,2.106043e-14,6.116929e-16,131.40,2.075070e-14
7.4278e-08,3.251405e-14,1.237502e-15,244.11,3.305205e-14
7.6069e-08,2.477385e-14,7.659023e-16,260.60,2.473529e-14
7.7879e-08,2.118514e-14,8.990838e-16,146.35,2.040565e-14
7.9709e-08,4.667505e-14,1.887464e-15,270.39,4.517561e-14
