GW Freq,Strain UL,Strain UL Err,Auto,Auto Error
2.75e-09,1.786239e-13,5.148359e-15,45.17,1.720304e-13
3.75e-09,9.870190e-14,2.726743e-15,46.10,1.021888e-13
4.761e-09,6.638276e-14,2.301470e-15,45.83,6.742367e-14
5.7833e-09,5.218661e-14,1.530233e-15,42.82,5.159741e-14
6.8168e-09,4.324111e-14,1.382447e-15,45.34,4.323446e-14
7.8617e-09,4.064834e-14,1.244016e-15,54.32,4.216524e-14
8.9182e-09,3.838342e-14,9.613655e-16,38.54,3.796086e-14
9.9864e-09,3.902509e-14,9.891446e-16,47.22,3.954925e-14
1.1066e-08,4.266252e-14,1.070969e-15,45.01,4.201594e-14
1.2158e-08,5.176867e-14,1.588570e-15,69.60,5.133896e-14
1.3262e-08,6.153274e-14,1.870590e-15,59.03,6.148217e-14
1.4378e-08,6.221274e-14,2.064641e-15,54.24,6.128472e-14
1.5507e-08,6.611978e-14,2.524998e-15,59.39,6.544384e-14
1.6648e-08,6.961433e-14,2.573305e-15,72.99,6.717283e-14
1.7801e-08,7.382722e-14,3.101413e-15,59.84,7.264935e-14
1.8968e-08,7.546526e-14,2.969724e-15,80.02,7.430575e-14
2.0147e-08,7.771770e-14,2.344168e-15,45.33,7.937814e-14
2.1339e-08,8.478508e-14,3.047042e-15,60.55,8.246474e-14
2.2544e-08,8.489435e-14,2.266802e-15,54.81,8.097733e-14
2.3763e-08,8.259496e-14,2.257869e-15,52.00,8.200109e-14
2.4995e-08,8.592232e-14,2.077531e-15,40.82,8.421445e-14
2.6241e-08,1.025802e-13,2.640564e-15,35.17,1.013559e-13
2.7501e-08,1.441584e-13,5.418071e-15,70.88,1.470261e-13
2.8774e-08,2.540850e-13,6.684204e-15,46.86,2.535499e-13
3.0062e-08,7.824908e-13,2.336592e-14,51.70,7.751177e-13
3.1364e-08,7.835561e-12,1.275974e-13,48.14,7.771264e-12
3.268e-08,2.584523e-12,8.719408e-14,115.78,2.684859e-12
3.401e-08,5.812479e-13,1.621822e-14,61.06,5.805803e-13
3.5356e-08,2.910300e-13,9.162576e-15,57.10,2.935641e-13
3.6716e-08,2.140244e-13,5.923372e-15,64.44,2.105469e-13
3.8091e-08,1.849584e-13,5.314022e-15,74.09,1.852392e-13
3.9482e-08,1.774025e-13,4.836242e-15,65.60,1.774202e-13
4.0888e-08,1.688627e-13,5.192777e-15,72.02,1.673370e-13
4.2309e-08,1.659507e-13,4.880634e-15,62.05,1.654393e-13
4.3746e-08,1.582988e-13,4.664420e-15,50.40,1.575367e-13
4.5199e-08,1.710828e-13,4.533490e-15,54.17,1.740920e-13
4.6668e-08,1.836597e-13,5.684621e-15,61.88,1.833364e-13
4.8154e-08,2.275934e-13,1.125589e-14,90.57,2.210727e-13
4.9655e-08,2.870966e-13,9.647258e-15,128.85,2.811150e-13
5.1174e-08,2.837108e-13,1.009179e-14,107.04,2.821496e-13
5.2709e-08,2.293862e-13,7.111278e-15,94.73,2.299964e-13
5.4261e-08,1.871421e-13,6.998400e-15,77.39,1.864375e-13
5.583e-08,1.682481e-13,4.199546e-15,51.69,1.711227e-13
5.7416e-08,1.639380e-13,3.651023e-15,44.96,1.668203e-13
5.9021e-08,1.676324e-13,3.912433e-15,45.03,1.651268e-13
6.0642e-08,1.866714e-13,5.059361e-15,51.58,1.844694e-13
6.2282e-08,1.996565e-13,4.693333e-15,48.67,2.051799e-13
6.394e-08,2.372641e-13,8.065032e-15,57.53,2.336972e-13
6.5616e-08,2.560499e-13,7.026451e-15,61.35,2.462882e-13
6.7311e-08,2.437353e-13,7.355475e-15,62.41,2.457245e-13
6.9024e-08,2.397620e-13,5.148351e-15,58.21,2.364680e-13
7.0756e-08,2.484771e-13,7.007953e-15,58.16,2.582615e-13
7.2508e-08,2.396845e-13,6.821180e-15,55.26,2.338346e-13
7.4278e-08,2.075337e-13,5.710721e-15,53.43,2.067145e-13
7.6069e-08,1.936412e-13,4.998343e-15,47.10,1.882392e-13
7.7879e-08,2.038794e-13,5.986160e-15,50.22,2.002982e-13
7.9709e-08,2.232488e-13,7.058124e-15,55.07,2.326654e-13
8.1559e-08,2.400832e-13,7.148877e-15,57.00,2.433471e-13
8.343e-08,2.366631e-13,5.253495e-15,44.84,2.334600e-13
8.5322e-08,2.381857e-13,6.169904e-15,58.01,2.327476e-13
8.7234e-08,2.484473e-13,7.560163e-15,58.55,2.467159e-13
8.9168e-08,2.503100e-13,6.314525e-15,46.82,2.488468e-13
9.1123e-08,2.962219e-13,8.795108e-15,79.54,2.937898e-13
9.3099e-08,3.587060e-13,1.233380e-14,95.93,3.508408e-13
9.5097e-08,4.609146e-13,1.666376e-14,128.53,4.652320e-13
9.7118e-08,4.766607e-13,2.904354e-14,199.05,4.952907e-13
 9.916e-08,4.407354e-13,2.535872e-14,285.01,4.830220e-13
1.0123e-07,4.680387e-13,1.605778e-14,120.06,4.685661e-13
1.0331e-07,3.669070e-13,1.445341e-14,106.96,3.651741e-13
1.0543e-07,3.297336e-13,1.263411e-14,89.47,3.232021e-13
1.0756e-07,3.280104e-13,1.334643e-14,126.76,3.207962e-13
1.0972e-07,3.331982e-13,1.130771e-14,89.77,3.318263e-13
 1.119e-07,4.044404e-13,1.721611e-14,103.87,4.246902e-13
1.1411e-07,3.878219e-13,1.173069e-14,108.73,3.783475e-13
1.1634e-07,3.597352e-13,1.088000e-14,103.52,3.509136e-13
1.1859e-07,3.771387e-13,1.150621e-14,101.62,3.683303e-13
1.2087e-07,4.065971e-13,1.133443e-14,76.38,3.917385e-13
1.2318e-07,3.756832e-13,1.568073e-14,108.42,3.876119e-13
1.2551e-07,3.295882e-13,7.497261e-15,62.29,3.338546e-13
1.2786e-07,3.236698e-13,1.145456e-14,97.75,3.106706e-13
1.3025e-07,3.172959e-13,8.318236e-15,49.45,3.133501e-13
1.3265e-07,3.497265e-13,7.773551e-15,48.74,3.430844e-13
1.3509e-07,4.620609e-13,1.557193e-14,86.38,4.495927e-13
1.3755e-07,4.626674e-13,1.131850e-14,67.76,4.622770e-13
1.4004e-07,4.231317e-13,1.178249e-14,76.38,4.201131e-13
1.4256e-07,4.601792e-13,1.466162e-14,111.99,4.783485e-13
 1.451e-07,5.027711e-13,1.744001e-14,131.11,4.983173e-13
1.4768e-07,4.763699e-13,1.652955e-14,133.45,4.739085e-13
1.5028e-07,4.703658e-13,1.744458e-14,94.44,4.619937e-13
1.5291e-07,5.291184e-13,2.281941e-14,112.89,5.454025e-13
1.5557e-07,5.834528e-13,1.906847e-14,138.76,5.742249e-13
1.5826e-07,4.959913e-13,1.960913e-14,118.03,4.678450e-13
1.6101e-07,4.692047e-13,1.811006e-14,133.20,4.758237e-13
1.6376e-07,4.325895e-13,1.279300e-14,59.05,4.311373e-13
1.6651e-07,4.618688e-13,1.280965e-14,56.54,4.552440e-13
1.6926e-07,4.446198e-13,1.311680e-14,62.34,4.439256e-13
1.7201e-07,5.503108e-13,2.079086e-14,148.63,5.650412e-13
1.7476e-07,5.955127e-13,1.773774e-14,203.15,5.904573e-13
1.7751e-07,5.652203e-13,2.091970e-14,130.33,5.490684e-13
1.8026e-07,5.960943e-13,2.667138e-14,135.97,5.917639e-13
1.8301e-07,8.210331e-13,3.546364e-14,187.26,8.427916e-13
1.8576e-07,7.567715e-13,3.350847e-14,162.80,7.796269e-13
1.8851e-07,7.131909e-13,2.483893e-14,142.93,7.079437e-13
1.9126e-07,6.132195e-13,2.087847e-14,119.68,6.090184e-13
1.9401e-07,6.468404e-13,1.824474e-14,76.21,6.256306e-13
1.9676e-07,6.986006e-13,2.689404e-14,116.71,6.717376e-13
1.9951e-07,6.810866e-13,2.724648e-14,135.70,7.161096e-13
2.0226e-07,6.569310e-13,1.980230e-14,103.85,6.581210e-13
2.0501e-07,7.552232e-13,3.067096e-14,146.03,7.831670e-13
2.0776e-07,6.585788e-13,2.313040e-14,103.56,6.629815e-13
2.1051e-07,6.775048e-13,2.447298e-14,114.41,7.176820e-13
2.1326e-07,5.869157e-13,1.994562e-14,74.46,6.179666e-13
2.1601e-07,5.759956e-13,1.534013e-14,78.19,5.804545e-13
2.1876e-07,6.133086e-13,1.541215e-14,94.21,6.098952e-13
2.2151e-07,6.281337e-13,2.438405e-14,126.18,6.565315e-13
2.2426e-07,6.007620e-13,2.114751e-14,101.15,6.098806e-13
2.2701e-07,6.718377e-13,2.547741e-14,179.24,7.081647e-13
2.2976e-07,8.428727e-13,3.023789e-14,178.63,8.334625e-13
2.3251e-07,7.122095e-13,2.661769e-14,154.05,7.070406e-13
2.3526e-07,7.029788e-13,4.999911e-14,257.08,6.762508e-13
2.3801e-07,7.610004e-13,4.910581e-14,194.98,7.584710e-13
2.4076e-07,7.098017e-13,1.839056e-14,100.92,6.815087e-13
2.4351e-07,1.095663e-12,3.223421e-14,215.55,1.091318e-12
2.4626e-07,8.521614e-13,2.435458e-14,152.06,8.587397e-13
2.4901e-07,7.666507e-13,2.617287e-14,187.19,7.430499e-13
2.5451e-07,8.571798e-13,4.004964e-14,158.96,8.507808e-13
2.5726e-07,7.975163e-13,2.889047e-14,116.74,7.971984e-13
2.6001e-07,7.405529e-13,3.442741e-14,116.09,7.067695e-13
2.6276e-07,8.468686e-13,3.632531e-14,108.61,8.408565e-13
2.6551e-07,8.813206e-13,4.046731e-14,147.68,8.645818e-13
2.6826e-07,1.088802e-12,6.407120e-14,252.25,1.168849e-12
2.7101e-07,7.872448e-13,3.234569e-14,257.10,7.876631e-13
2.7376e-07,7.419029e-13,3.170576e-14,118.94,7.268083e-13
2.7651e-07,1.117344e-12,3.663402e-14,204.32,1.108557e-12
2.7926e-07,8.930144e-13,4.111342e-14,265.74,8.926587e-13
2.8201e-07,7.253318e-13,2.664808e-14,73.04,7.312119e-13
2.8476e-07,8.721782e-13,3.032054e-14,113.72,8.486453e-13
2.8751e-07,8.528693e-13,3.250328e-14,108.56,8.737986e-13
2.9026e-07,1.056421e-12,5.572295e-14,206.95,1.003613e-12
2.9301e-07,1.100262e-12,6.092675e-14,162.72,1.092186e-12
2.9576e-07,1.061636e-12,4.477234e-14,139.09,1.062828e-12
2.9851e-07,8.911962e-13,2.520197e-14,98.83,9.010924e-13
3.0126e-07,9.862803e-13,4.254523e-14,136.90,9.771669e-13
3.0401e-07,1.094360e-12,5.211076e-14,176.36,1.133520e-12
3.0676e-07,1.124684e-12,6.802513e-14,237.84,1.212489e-12
3.0951e-07,1.203692e-12,4.677886e-14,169.69,1.226904e-12
3.1226e-07,1.002639e-12,3.597799e-14,131.50,1.006243e-12
3.1501e-07,9.893838e-13,3.672774e-14,119.23,1.030488e-12
3.1776e-07,1.020589e-12,3.633939e-14,153.41,9.833996e-13
