GW Freq,Strain UL,Strain UL Err,Auto
2.75e-09,7.046143e-14,1.052172e-14,718.78
3.75e-09,5.109986e-14,5.038087e-15,1070.96
 4.761e-09,4.935620e-14,6.724982e-15,795.88
5.7833e-09,3.780076e-14,3.409033e-15,657.70
6.8168e-09,1.735568e-14,7.869049e-16,141.17
7.8617e-09,1.506853e-14,6.895161e-16,131.10
8.9182e-09,1.774658e-14,8.126089e-16,153.41
9.9864e-09,2.167308e-14,9.968977e-16,169.64
1.1066e-08,2.681320e-14,1.281571e-15,244.18
1.2158e-08,2.887727e-14,1.633831e-15,302.55
1.3262e-08,3.625696e-14,2.383778e-15,601.30
1.4378e-08,3.859386e-14,1.415227e-15,413.72
1.5507e-08,3.771912e-14,2.038384e-15,440.95
1.6648e-08,4.017957e-14,2.038556e-15,542.00
1.7801e-08,3.371426e-14,1.678426e-15,236.21
1.8968e-08,2.825093e-14,1.024845e-15,241.00
2.0147e-08,2.305201e-14,9.152572e-16,161.06
2.1339e-08,2.299919e-14,8.311718e-16,133.01
2.2544e-08,2.547403e-14,8.212550e-16,190.41
2.3763e-08,2.797979e-14,7.718388e-16,130.54
2.4995e-08,2.635098e-14,1.087756e-15,142.77
2.6241e-08,3.060611e-14,1.380208e-15,157.76
2.7501e-08,3.831034e-14,2.894726e-15,312.93
2.8774e-08,6.405793e-14,2.914325e-15,282.26
3.0062e-08,2.250443e-13,1.211100e-14,503.52
3.1364e-08,2.621337e-12,1.133546e-13,182.51
 3.268e-08,7.019806e-13,2.642052e-14,347.96
 3.401e-08,1.605877e-13,6.270641e-15,273.86
3.5356e-08,8.309872e-14,4.208192e-15,278.76
3.6716e-08,6.457436e-14,3.100653e-15,228.30
3.8091e-08,6.145399e-14,3.058055e-15,289.26
3.9482e-08,4.530456e-14,1.792624e-15,178.58
4.0888e-08,4.630482e-14,2.830750e-15,309.63
4.2309e-08,4.220361e-14,1.503159e-15,160.72
4.3746e-08,4.188491e-14,1.328694e-15,118.01
4.5199e-08,5.220475e-14,4.186353e-15,456.61
4.6668e-08,7.815247e-14,3.865927e-15,199.32
4.8154e-08,7.644354e-14,5.664542e-15,187.28
4.9655e-08,5.855402e-14,2.357702e-15,131.94
5.1174e-08,8.286341e-14,1.098433e-14,465.75
5.2709e-08,7.211057e-14,5.552215e-15,216.08
5.4261e-08,5.078600e-14,2.952717e-15,133.25
 5.583e-08,6.665570e-14,4.087717e-15,176.07
5.7416e-08,6.418920e-14,2.749773e-15,187.67
5.9021e-08,8.014627e-14,3.130388e-15, 99.82
6.0642e-08,6.484208e-14,1.974259e-15,146.67
6.2282e-08,7.160740e-14,4.576126e-15,317.66
 6.394e-08,7.167990e-14,2.419727e-15,110.42
6.5616e-08,9.270350e-14,5.394282e-15,201.59
