x,y
3e-09,6.1822e-15
3.1009e-09,5.9464e-15
3.2051e-09,5.6223e-15
3.3129e-09,5.4518e-15
3.4243e-09,6.0574e-15
3.5394e-09,5.5341e-15
3.6584e-09,5.2724e-15
3.7814e-09,5.1548e-15
3.9085e-09,5.2562e-15
4.0399e-09,5.0965e-15
4.1758e-09,5.6737e-15
4.3162e-09,5.1253e-15
4.4613e-09,6.1041e-15
4.6113e-09,5.4026e-15
4.7663e-09,5.3509e-15
4.9266e-09,5.6249e-15
5.0922e-09,5.4127e-15
5.2634e-09,6.2454e-15
5.4404e-09,6.1768e-15
5.6233e-09,6.2596e-15
5.8123e-09,5.5387e-15
6.0078e-09,5.7641e-15
6.2097e-09,5.7397e-15
6.4185e-09,6.2446e-15
6.6343e-09,5.9731e-15
6.8574e-09,5.8636e-15
7.0879e-09,6.2096e-15
7.3262e-09,5.9862e-15
7.5726e-09,6.3882e-15
7.8272e-09,5.6791e-15
8.0903e-09,6.2956e-15
8.3623e-09,6.3802e-15
8.6435e-09,6.9596e-15
8.9341e-09,6.5152e-15
9.2345e-09,6.7117e-15
9.5449e-09,6.3014e-15
9.8659e-09,6.9373e-15
1.0198e-08,6.2578e-15
1.054e-08,7.4383e-15
1.0895e-08,7.0704e-15
1.1261e-08,6.9337e-15
1.164e-08,7.5191e-15
1.2031e-08,7.7515e-15
1.2436e-08,7.5167e-15
1.2854e-08,7.4201e-15
1.3286e-08,7.3429e-15
1.3733e-08,7.6337e-15
1.4194e-08,8.0516e-15
1.4671e-08,8.3412e-15
1.5165e-08,7.917e-15
1.5675e-08,8.0198e-15
1.6202e-08,7.9791e-15
1.6746e-08,8.5246e-15
1.7309e-08,9.0559e-15
1.7891e-08,7.9468e-15
1.8493e-08,8.5066e-15
1.9115e-08,9.0414e-15
1.9757e-08,9.1952e-15
2.0421e-08,8.7232e-15
2.1108e-08,9.2287e-15
2.1818e-08,1.0421e-14
2.2551e-08,9.4856e-15
2.331e-08,9.523e-15
2.4093e-08,9.5292e-15
2.4903e-08,1.0515e-14
2.5741e-08,1.0302e-14
2.6606e-08,1.1234e-14
2.7501e-08,1.0978e-14
2.8425e-08,1.1616e-14
2.9381e-08,1.5225e-14
3.0369e-08,3.6238e-14
3.139e-08,4.8671e-13
3.2445e-08,1.0344e-13
3.3536e-08,2.1759e-14
3.4663e-08,1.2838e-14
3.5829e-08,1.2119e-14
3.7033e-08,1.2674e-14
3.8279e-08,1.1881e-14
3.9566e-08,1.2453e-14
4.0896e-08,1.2305e-14
4.2271e-08,1.2521e-14
4.3692e-08,1.1813e-14
4.5161e-08,1.2468e-14
4.6679e-08,1.3363e-14
4.8249e-08,1.3963e-14
4.9871e-08,1.344e-14
5.1548e-08,1.4613e-14
5.3281e-08,1.3927e-14
5.5072e-08,1.4415e-14
5.6924e-08,1.4611e-14
5.8838e-08,1.5548e-14
6.0816e-08,1.6451e-14
6.4974e-08,1.6939e-14
6.7158e-08,1.6453e-14
6.9416e-08,1.6112e-14
7.175e-08,1.7765e-14
7.4163e-08,1.7726e-14
7.6656e-08,1.8435e-14
7.9233e-08,1.9679e-14
8.1897e-08,1.8845e-14
8.4651e-08,2.0419e-14
8.7497e-08,1.933e-14
9.0439e-08,2.1192e-14
9.3479e-08,2.1185e-14
9.6622e-08,2.1701e-14
9.9871e-08,2.2366e-14
1.0323e-07,2.2708e-14
1.067e-07,2.4439e-14
1.1029e-07,2.5946e-14
1.1399e-07,2.5501e-14
1.1783e-07,2.5324e-14
1.2179e-07,2.6204e-14
1.2588e-07,2.7369e-14
1.3012e-07,2.8431e-14
1.3449e-07,2.9297e-14
1.3901e-07,2.9715e-14
1.4369e-07,3.1378e-14
1.4852e-07,3.1326e-14
1.5351e-07,3.6951e-14
1.5867e-07,3.3894e-14
1.6401e-07,3.804e-14
1.6952e-07,4.3339e-14
1.7522e-07,3.9551e-14
1.8111e-07,3.8748e-14
1.872e-07,4.0904e-14
1.9349e-07,4.189e-14
2e-07,4.3051e-14
