,Paper link,Source Name,Right Ascension,Declination,Redshift,Proposed Binary Signature,Luminosity Distance (Mpc),Mass 1,Mass 2,Total Mass,Chirp Mass,Mass Ratio,Reduced Mass,Orbital Period (yr),Orbital Frequency (Hz),Gravitational Wave Frequency (Hz),Eccentricity,Orbital Orientation Parameters,Estimated Separation,Strain (10^(-22)),Semicolon-separated list of other supporting evidence for binary interpretation,Primary alternative explanation (instead of binary BH),Parent sample,Luminosity of AGN 1,Luminosity of AGN 2,Host galaxy type,Estimated host BH mass,Note of interest
0,http://adsabs.harvard.edu/abs/2015ApJ...803L..16L,PSO J334.2028+01.4075,334.20285666332,1.4074099103,2.06,variable optical light curve,16403.4,8000000000.0,2000000000.0,10000000000.0,3330212829.6074967,0.25,1600000000.0,1.48,1.3462060749061533e-07,2.6924121498123066e-07,none,none,0.01,1.1223479150573847e-15,none,Radio Loud Quasar,none,none,none,none,none,none
1,https://arxiv.org/pdf/1709.06258.pdf, NGC 7674,351.98623876832,8.77895936327,0.03,two possibly inverted-spectrum radio cores,131.43774251462557,36300000.0,36300000.0,72600000.0,31600985.447649337,1.0,18150000.0,,,,none,none,0.35,,none,none,none,5.8 x 10^7 K,1.6 x 10^7 K,Seyfert Spiral Galaxy,none,none
2,http://adsabs.harvard.edu/abs/2006ApJ...646...49R,4C +37.11,61.45526149458,38.0589539925,0.06,"two compact, variable, flat-spectrum, active nuclei",268.6598698087342,100000000.0,50000000.0,150000000.0,60836434.18932064,0.5,33333333.333333332,,,,none,none,7.3,,none,none,none,none,none,Elliptical Galaxy,none,none
3,"http://adsabs.harvard.edu/abs/2017MNRAS.465.4772R
",2MASX J12032061+1319316,180.835875,13.325444444444445,0.06,observations of double peaked emission lines,268.6598698087342,82105263.15789475,73894736.84210527,156000000.0,67790023.25231934,0.9,38891966.759002775,,,,none,none,0.02,,none,none,none,none,none,Galaxy SO,none,none
4,http://adsabs.harvard.edu/abs/2009Natur.458...53B, J153636.22+044127.0,234.15091666666663,4.690833333333334,0.37,two broad emission line peaks,1981.686757641201,794328234.72,19952623.15,814300000.0,86665282.0787235,0.025118864315622973,19463716.6913522,1000.0,1.9923849908611069e-10,3.9847699817222137e-10,none,none,0.01,2.7573345204470407e-19,none,none,none,none,none,none,none,none
5,http://iopscience.iop.org/article/10.3847/0004-637X/827/1/56/pdf, SDSS J015910.058+010514.53,29.791908333333332,1.0873694444444444,0.22,periodic optical light curves caused by orbital motion of the binary,1090.548224710858,123809523.8095238,6190476.19047619,130000000.0,20318806.572554216,0.05,5895691.6099773245,4.1,4.859475587466115e-08,9.71895117493223e-08,none,none,0.01,1.7435942209400493e-18,the existence of broad Hβ lines and an unusual SED with extra bright UV radiation,Radio Quiet Quasar,none,none,none,none,none,none
6,http://iopscience.iop.org/article/10.3847/0004-637X/822/1/4/pdf,NGC 5548,214.49808345492997,25.13683420063,0.017175,double peaked broad emission lines,74.52925468012637,,,280000000.0,,,,14.0,1.4231321363293619e-08,2.8462642726587238e-08,0.31,none,0.08,,none,none,none,none,none,Seyfert Galaxy,none,none
7,http://iopscience.iop.org/article/10.1088/0004-637X/759/2/118/pdf,NGC 4151,182.63573325577997,39.40585097987,0.0,double peaked broad emission lines,14.3,44000000.0,12000000.0,56000000.0,19228382.29576192,0.2727272727272727,9428571.42857143,15.9,1.2530723212962935e-08,2.506144642592587e-08,0.42,none,0.01,4.9138247898319454e-17,none,none,none,none,none,Seyfert Galaxy,none,none
8,http://adsabs.harvard.edu/abs/2015MNRAS.454L..21C,PG1302-102,196.3875627232,-10.5553973288,0.28,Light curve in optical bands show periodic modulation,1434.219606918179,153481716.53846154,46044514.96153846,199526231.5,70719752.17039524,0.3,35418857.662721895,,,,none,none,0.01,,none,none,none,none,none,none,none,none
9,http://adsabs.harvard.edu/abs/2017MNRAS.471.1873Y,PKS 1155+251,179.60745085515,24.83832586951,0.2,Double Peaked Broad Emission Line,980.0503464359016,,,,,,,,,,none,none,none,,none,none,none,none,none,none,none,none
10,http://adsabs.harvard.edu/abs/2014ApJ...786..103L,SDSS J120136.02+300305.5,180.40008333333333,30.05152777777778,0.15,The Tidal Disruption Event paper!!!,713.1629647843545,9259259.25925926,740740.7407407407,10000000.0,2003297.6686414883,0.08,685871.0562414266,,,,0.3,none,0.01,,none,none,none,none,none,none,none,none
11,http://iopscience.iop.org/article/10.1086/383020/pdf,3C 66B,35.79755528175999,42.99204954285,0.02,none,87.5,1200000000.0,700000000.0,1900000000.0,792167191.1404579,0.5833333333333334,442105263.15789473,1.05,1.8975095151058158e-07,3.7950190302116317e-07,none,none,none,2.415514824156373e-14,none,none,none,none,none,none,none,none
12,http://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?1988ApJ...325..628S&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf,OJ 287,133.70364576928,20.10851099545,0.31,double-peaked periodicity,1612.6045145542819,5000000000.0,20000000.0,5020000000.0,181911123.69262147,0.004,19920318.7250996,11.65,1.710201708893654e-08,3.420403417787308e-08,0.7,none,none,2.2688344777675316e-17,none,none,none,none,none,none,none,"supermassive black hole impacts accretion disk of ultramassive black hole twice every orbit, resulting in doublepeaked high-brightness flares"
13,https://arxiv.org/pdf/1705.07781.pdf,Ark 120,79.04753852996,-0.1497658797,0.03,broad hydrogen beta line shows double peaks ,143.0,,,260000000.0,,,,20.0,9.961924954305533e-09,1.9923849908611066e-08,none,none,0.02,,none,none,none,none,none,Radio-Quiet Galaxy,none,none
14,http://adsabs.harvard.edu/abs/2017MNRAS.467L..56N,2MASX J13284845+2752280,202.20187499999997,27.874444444444446,0.09,double peaked line profiles with different emission strengths,419.6,,,81283051.62,,,,,,,none,none,none,,misaligned double-double radio jet structure,none,none,none,none,Double-Double Radio Galaxy,none,morphology is misaligned by 30 degrees from axis
15,https://arxiv.org/pdf/1512.01219.pdf,Mrk 421,166.11380868146,38.20883291552,0.03,low frequency oscillation modes from the outburstless light curves,131.43774251462557,,,,,,,0.85,2.3439823421895374e-07,4.6879646843790747e-07,none,none,none,,none,none,none,none,none,none,none,an eclipsing supermassive binary black hole system
16,http://adsabs.harvard.edu/abs/2014ApJ...792L...8W,J150243.09+111557.3,225.67954166666664,11.265916666666667,0.39,"two active galactic nuclei, hotspots energized by single central black hole",2108.1992418521654,,,,,,,,,,none,none,7400.0,,none,Double Hotspot CSO (Compact Symmetric Object),none,none,none,none,none,"not a binary black hole system, evidence of edge brightening in VLBA image that suggests double hotspots"
17,http://adsabs.harvard.edu/abs/2018A%26A...621A..11Q,3C279,194.04652658140998,-5.78931345347,0.5362,none,3081.212920698917,,,,,,,,,,none,none,none,,none,none,none,none,none,none,none,none
18,https://arxiv.org/abs/1210.2286,VRO 42.22.01,330.68038064033993,42.27777206022,0.07,precessing radio jet,315.65344308649554,,,375000000.0,,,,,,,none,none,0.17,,none,none,none,none,none,none,none,none
19,https://arxiv.org/pdf/2101.07932.pdf and https://ui.adsabs.harvard.edu/abs/2018ApJ...863..149P/abstract,SDSS J043703.67+245606.8,69.26529166666666,24.935222222222222,0.02,maser-measured BH velocity offset,70.0,2860000.0,,,,,,,,,none,none,37.0,,none,none,none,none,none,none,none,none
20,https://arxiv.org/pdf/astro-ph/0210326v1.pdf,NGC 6264,254.31719706930997,27.84960398059,0.03,periodic radio blazar (23 days) mentioned by gopu,140.0,140000000.0,60000000.0,200000000.0,78408215.98472732,0.42857142857142855,42000000.0,14.0,1.4231321363293619e-08,2.8462642726587238e-08,none,none,none,5.686413473551978e-17,none,none,none,none,none,Blazar,(4-7)E+08,One of the brightest gamma ray (>GeV) souces in the sky
21,http://tevcat.uchicago.edu/?mode=1&showsrc=102 ; https://arxiv.org/abs/1801.03335 ,Mrk 501,253.46756698873997,39.76017034134999,0.5,periodic X-ray outbursts possibly linked to blazar jet motion,2832.8070066796085,500000000.0,50000000.0,550000000.0,123222911.85589479,0.1,45454545.45454545,1.5,1.328256660574071e-07,2.656513321148142e-07,0.1,none,none,2.6464101809764664e-17,none,none,none,none,none,none,none,"Two models of jets, one as single jet on larger body and other as a two jet system wherein the motion of the smaller object's jet contributes to the varying flux of the primary jet."
22,none,PG1553+113,238.92935002022,11.19010156943,0.36,none,1919.0703851787825,,,,,,,,,,none,none,none,,none,none,none,none,none,none,none,none
