Num   theta     phi         ul          ul_err     nsamples
  0   0.102    0.785   4.927200e-15  2.140265e-16   100000 
  1   0.102    2.356   4.848529e-15  2.080776e-16   100000 
  2   0.102    3.927   4.281934e-15  1.372271e-16   100000 
  3   0.102    5.498   3.970902e-15  1.710638e-16   100000 
  4   0.204    0.393   4.814328e-15  1.770734e-16   100000 
  5   0.204    1.178   5.419574e-15  2.037149e-16   100000 
  6   0.204    1.963   5.411993e-15  1.918582e-16   100000 
  7   0.204    2.749   5.167536e-15  2.290084e-16   100000 
  8   0.204    3.534   4.028984e-15  1.079891e-16   100000 
  9   0.204    4.320   4.218433e-15  1.589191e-16   100000 
 10   0.204    5.105   3.820568e-15  1.284138e-16   100000 
 11   0.204    5.890   4.289657e-15  1.627892e-16   100000 
 12   0.307    0.262   4.521673e-15  1.810242e-16   99900  
 13   0.307    0.785   5.385561e-15  1.763685e-16   100000 
 14   0.307    1.309   6.021168e-15  1.525473e-16   100000 
 15   0.307    1.833   6.040688e-15  1.691070e-16   100000 
 16   0.307    2.356   5.906922e-15  2.874115e-16   100000 
 17   0.307    2.880   4.772382e-15  1.964982e-16   99900  
 18   0.307    3.403   4.289974e-15  1.441475e-16   100000 
 19   0.307    3.927   3.930103e-15  1.383571e-16   100000 
 20   0.307    4.451   3.884722e-15  1.338963e-16   100000 
 21   0.307    4.974   3.561516e-15  1.286424e-16   100000 
 22   0.307    5.498   3.900495e-15  1.404866e-16   100000 
 23   0.307    6.021   4.068962e-15  1.145743e-16   100000 
 24   0.411    0.196   4.845472e-15  2.033004e-16   100000 
 25   0.411    0.589   5.670388e-15  2.097308e-16   100000 
 26   0.411    0.982   6.010451e-15  2.444355e-16   100000 
 27   0.411    1.374   7.017310e-15  3.078215e-16   100000 
 28   0.411    1.767   6.719620e-15  1.781859e-16   100000 
 29   0.411    2.160   6.546868e-15  2.506940e-16   100000 
 30   0.411    2.553   5.505630e-15  1.798500e-16   100000 
 31   0.411    2.945   4.831808e-15  1.264671e-16   100000 
 32   0.411    3.338   4.281991e-15  1.455057e-16   99900  
 33   0.411    3.731   4.040445e-15  1.671430e-16   100000 
 34   0.411    4.123   3.704486e-15  1.809783e-16   100000 
 35   0.411    4.516   3.709620e-15  1.656452e-16   100000 
 36   0.411    4.909   3.620353e-15  1.493894e-16   99900  
 37   0.411    5.301   3.755368e-15  1.554088e-16   100000 
 38   0.411    5.694   3.764592e-15  1.021976e-16   100000 
 39   0.411    6.087   4.285866e-15  2.105967e-16   100000 
 40   0.516    0.157   4.467029e-15  1.634707e-16   99900  
 41   0.516    0.471   5.602768e-15  2.195662e-16   100000 
 42   0.516    0.785   5.871151e-15  2.078345e-16   100000 
 43   0.516    1.100   6.634077e-15  2.006154e-16   99900  
 44   0.516    1.414   7.746637e-15  3.444625e-16   100000 
 45   0.516    1.728   6.973240e-15  2.508647e-16   100000 
 46   0.516    2.042   6.680880e-15  2.213383e-16   100000 
 47   0.516    2.356   5.893529e-15  1.799195e-16   100000 
 48   0.516    2.670   5.151637e-15  1.652613e-16   100000 
 49   0.516    2.985   4.771137e-15  1.694862e-16   100000 
 50   0.516    3.299   3.946916e-15  1.552959e-16   100000 
 51   0.516    3.613   3.658038e-15  1.292472e-16   100000 
 52   0.516    3.927   3.277170e-15  1.328160e-16   100000 
 53   0.516    4.241   3.335726e-15  1.204992e-16   100000 
 54   0.516    4.555   3.140094e-15  8.379940e-17   100000 
 55   0.516    4.869   3.048234e-15  1.216565e-16   100000 
 56   0.516    5.184   3.381379e-15  1.045326e-16   100000 
 57   0.516    5.498   3.377867e-15  1.411262e-16   100000 
 58   0.516    5.812   3.757501e-15  1.002204e-16   100000 
 59   0.516    6.126   4.007479e-15  1.620563e-16   100000 
 60   0.622    0.131   4.272747e-15  1.382567e-16   100000 
 61   0.622    0.393   5.377509e-15  1.885012e-16   100000 
 62   0.622    0.654   5.833133e-15  2.206963e-16   100000 
 63   0.622    0.916   6.459409e-15  2.190901e-16   99900  
 64   0.622    1.178   7.615937e-15  2.474915e-16   100000 
 65   0.622    1.440   8.121319e-15  3.332729e-16   100000 
 66   0.622    1.702   7.766137e-15  2.471620e-16   99900  
 67   0.622    1.963   7.402424e-15  2.235766e-16   100000 
 68   0.622    2.225   6.168153e-15  1.888454e-16   100000 
 69   0.622    2.487   5.707281e-15  2.131876e-16   100000 
 70   0.622    2.749   5.187999e-15  2.175950e-16   100000 
